country,Population2000
Guinea-Bissau,1257163.3573950746
Gambia,1489231.1106294629
Guinea,8474928.353550099
Ghana,1.9884297471732255E7
Cape Verde,430199.35098689614
Côte d'Ivoire,1.694127159463574E7
Burkina Faso,1.2166870352498027E7
Benin,7053175.564963105
Brazil,1.8634051942072082E8
Turkmenistan,5879332.784633228
Uzbekistan,3.281605805439723E7
Tajikistan,8056048.249913125
Kyrgyzstan,6515565.355317326
Kazakhstan,2.2764721229818746E7
Mongolia,3653294.5377506167
Republic of Korea,5.68961939475759E7
Dem People's Rep of Korea,2.9890453679636702E7
China,1.5097025662769258E9
Myanmar,4.756429532519711E7
Cambodia,1.2372916306853566E7
Viet Nam,8.239167085060827E7
Lao People's Democratic Republic,5695173.630027972
Malaysia,2.262197102576803E7
Thailand,6.5308627834036686E7
Brunei Darussalam,337228.786685757
Philippines,7.695212096165973E7
Indonesia,2.123910509934346E8
Singapore,4008951.1551668867
Timor-Leste,884816.6511890138
Maldives,240556.7823513206
Nepal,2.7649677720809154E7
Pakistan,1.751086356397696E8
India,1.13944780651516E9
Iran  (Islamic Republic of),7.911583284172243E7
Sri Lanka,1.887595931724432E7
Bhutan,723007.4823619644
Bangladesh,1.410720868806306E8
Afghanistan,2.3755401134838834E7
Oman,2488839.4603377907
Kuwait,2188912.191627637
Lebanon,4864066.076737817
Qatar,707068.5349489583
Saudi Arabia,2.339530615165637E7
Turkey,8.074587664683421E7
Yemen,1.916902629954E7
Iraq,2.9576204551345516E7
Jordan,5958223.624706622
Syrian Arab Republic,1.966817530610631E7
Israel,7049143.101081628
Georgia,5728288.580586296
Cyprus,1157071.236600057
Bahrain,622161.038856201
Azerbaijan,1.0680265379241403E7
Armenia,4156633.7708395612
United Arab Emirates,3572390.0594580946
"Moldova, Republic of",6245076.425248233
Hungary,1.503207008340243E7
Poland,6.214422835167736E7
Romania,3.144253777850057E7
Ukraine,7.409332833882102E7
Belarus,1.7298948074421756E7
Czech Republic,1.5859335045576084E7
Slovakia,8119014.065919482
Bulgaria,1.0965910972819934E7
Norway,8698946.871809168
Sweden,1.6880713058295075E7
Lithuania,6302405.101376774
Latvia,4328318.521300421
Ireland,6198888.671255322
Iceland,620609.174479489
U.K. of Great Britain and Northern Ireland,9.650421663718534E7
Finland,1.0756038022771899E7
Estonia,2717611.004818438
Svalbard and Jan Mayen Islands,8272.059863801564
Madeira Islands,313556.15222958615
Azores Islands,297366.5529205636
British Indian Ocean Territory,0.0
Guernsey,89362.82261930012
Jersey,128988.08525823845
Isle of Man,127301.16281984585
Holy See,1595.3711619762814
Greenland,76397.84799529353
Western Sahara,290580.1146176833
Gaza Strip,1241716.031077676
West Bank,82882.70208802662
West Bank,2438097.7926701754
Gibraltar,26308.19955452686
Saint Helena,6360.43703188388
Macau,339407.8644859228
Hong Kong,5804478.438156744
Abyei,11023.307801689998
Ilemi triangle,14290.859655008371
Hala'ib triangle,4104.691113038536
Ma'tan al-Sarra,0.0
Paracel Islands,437.71802477008276
Senkaku Islands,0.0
Scarborough Reef,0.0
China/India,1157.1891384199262
Aksai Chin,6891.473790035762
Spratly Islands,0.0
Jammu and Kashmir,1.6959080034797125E7
Arunachal Pradesh,797004.7260942888
Norfolk Island,3060.746597639181
Wallis and Futuna,14758.559880620294
French Polynesia,250863.696644206
New Zealand,4929322.662012193
Australia,5955688.0371946255
Australia,1.235819737683164E7
Papua New Guinea,5204606.727654417
Vanuatu,193560.75894799703
Solomon Islands,416874.5444727651
Fiji,771558.038795272
Marshall Islands,44994.668315670686
Nauru,9804.789555267209
Micronesia (Federated States of),103503.44241880019
Kiribati,83837.2249376556
Samoa,183325.5467825142
Tonga,106540.48036736107
Tuvalu,9018.027768586342
Canada,7858.474091959542
Canada,5643873.30771126
Canada,750794.1403824046
Canada,6604855.129951332
Canada,1935494.8383824914
Canada,32702.90555125201
Canada,37385.651533723816
United States of America,8.979451080354622E7
United States of America,1.2282612580842194E8
United States of America,2.3417994772595048E7
Japan,1.5259001036303157E8
Russian Federation,2.5280375889087752E8
Cook Islands,16308.047531924582
Niue,2413.808583869464
Northern Mariana Islands,80958.3583396931
Wake Island,0.0
Jarvis Island,0.0
New Caledonia,236099.8150621792
Tokelau,1346.8836868036026
Guam,164247.96586247606
American Samoa,58860.21874169407
Kuril islands,25573.010443496718
Martinique,438970.09479979
Guadeloupe,472613.3879706933
Clipperton Island,0.0
Dominica,69060.95878154469
Dominican Republic,9062514.090107795
Antigua and Barbuda,77852.21815921825
Cuba,1.1947854281691745E7
Grenada,101524.59379015371
Jamaica,2740516.2283538585
Saint Kitts and Nevis,46536.64299540864
Trinidad and Tobago,1353268.5503913257
Bahamas,353420.10639993206
Saint Lucia,162532.2796756401
Saint Vincent and the Grenadines,123239.09389461103
Barbados,271815.20508972043
Haiti,8769771.218140638
Panama,3017220.845838009
El Salvador,6138936.311531358
Nicaragua,5251977.66052439
Mexico,1.051645664188738E8
Honduras,6869853.590037625
Guatemala,1.2150938055185825E7
Costa Rica,4039848.805934764
Belize,251147.87679738255
United States of America,2.309364802362322E7
United States of America,1.0075933127389415E8
Colombia,3.946990365144825E7
Guyana,768550.077333459
Ecuador,1.2626668594585547E7
French Guiana,167267.10786629628
Paraguay,5667165.276020903
Suriname,469827.54491814366
Uruguay,3942924.433587102
Venezuela,2.4755109995229382E7
Peru,2.7015731239340097E7
Chile,1.865355771239071E7
Bolivia,8984032.028934743
Netherlands Antilles,192964.23645427555
Navassa Island,0.0
Puerto Rico,4030792.5820660302
Palmyra Atoll,0.0
Midway Island,0.0
Kingman Reef,0.0
Johnston Atoll,0.0
Howland Island,0.0
Baker Island,0.0
Bird Island,0.0
Aruba,90693.1949641024
Pitcairn,48.92632726709924
Cayman Islands,42149.10376172066
Montserrat,5471.029439108218
Turks and Caicos islands,17157.323967859913
British Virgin Islands,20189.69047329867
Anguilla,11400.557380850381
Bermuda,52047.02884216248
United States Virgin Islands,113237.91337347234
Falkland Islands (Malvinas),4580.893365233165
South Georgia and the South Sandwich Islands,0.0
Argentina,4.413962092475398E7
Heard Island and McDonald Islands,0.0
Bouvet Island,0.0
Antarctica,0.0
